OrderDetailID,OrderID,ProductID,Quantity,Price
1,2812,84,3,307.7
2,525,36,2,230.33
3,1744,69,3,140.06
4,3486,36,3,497.82
5,4770,17,4,512.86
6,353,6,3,468.25
7,348,16,4,544.62
8,3630,21,1,522.71
9,4516,12,3,484.74
10,1106,44,5,431.05
11,4980,83,3,150.18
12,2975,98,4,284.72
13,4427,34,2,75.35
14,2807,22,4,173.92
15,4886,79,1,57.78
16,1225,7,2,225.6
17,1707,83,5,399.7
18,2038,88,4,549.31
19,3323,34,1,51.93
20,4152,75,3,291.55
21,3451,21,4,445.54
22,2053,8,4,287.44
23,4997,75,2,419.96
24,2562,43,4,376.01
25,516,47,5,142.94
26,3302,9,3,547.34
27,2037,36,1,109.84
28,2985,68,1,300.04
29,182,17,5,492.17
30,4495,56,5,348.95
31,1771,21,4,59.83
32,2338,37,5,361.82
33,2128,87,5,379.6
34,4896,39,5,190.05
35,4777,90,3,454.82
36,3886,84,2,479.9
37,4098,6,3,431.69
38,1745,96,4,234.67
39,4857,44,3,102.2
40,2649,45,5,287.6
41,831,89,5,243.3
42,4467,34,2,263.39
43,1028,80,5,311.88
44,1663,93,5,358.38
45,3030,22,4,540.98
46,4581,84,4,505.89
47,260,7,2,488.31
48,361,15,2,319.72
49,2091,52,1,490.52
50,668,33,1,231.81
51,4058,100,2,521.76
52,377,35,3,179.6
53,4592,71,4,214.39
54,289,33,1,527.53
55,2388,33,4,532.95
56,2233,68,5,304.16
57,3325,22,2,419.31
58,1935,34,1,501.21
59,3500,37,3,280.71
60,2761,45,4,213.69
61,3507,64,2,362.02
62,1933,42,5,520.53
63,1380,8,1,54.99
64,3334,82,5,351.29
65,2213,14,2,333.88
66,3462,9,5,543.36
67,2744,17,4,447.82
68,2346,68,4,53.32
69,186,41,5,455.35
70,3075,60,5,384.29
71,1827,53,3,209.1
72,62,5,4,51.71
73,4563,33,1,419.83
74,4531,37,5,353.69
75,4860,50,2,343.11
76,1184,6,4,60.1
77,3437,15,5,502.31
78,3637,51,1,268.71
79,464,33,3,292.08
80,3302,76,4,69.98
81,1641,46,2,375.12
82,4622,38,2,466.64
83,620,20,3,373.6
84,4625,91,4,187.29
85,2824,77,5,269.13
86,4185,52,5,432.2
87,2966,86,3,499.4
88,4920,24,4,68.37
89,207,75,5,423.98
90,4831,70,5,317.01
91,2962,94,2,389.09
92,2248,30,4,346.2
93,2211,52,3,476.97
94,79,1,2,204.71
95,2130,91,4,250.37
96,4878,18,3,175.68
97,4255,95,5,154.26
98,3794,4,3,102.32
99,2270,16,4,391.83
100,2821,28,5,439.55
101,4048,76,5,223.68
102,3434,33,4,118.38
103,2816,45,4,442.62
104,2548,17,5,483.25
105,1776,96,4,546.51
106,335,35,1,253.91
107,1473,41,5,194.64
108,9,1,5,382.83
109,2981,96,5,120.56
110,1601,27,5,345.86
111,3029,65,4,203.13
112,4104,19,2,328.06
113,95,22,1,195.06
114,1345,92,5,70.24
115,640,80,3,57.56
116,3910,84,5,466.45
117,204,24,5,472.02
118,1834,20,4,156.74
119,718,49,5,362.06
120,733,72,5,294.47
121,1605,37,4,184.17
122,1220,29,1,205.06
123,4239,16,1,302.82
124,356,96,5,255.42
125,1327,99,1,360.79
126,2842,19,4,198.16
127,3117,65,2,215.68
128,2545,73,3,542.22
129,2398,6,5,464.2
130,4429,63,1,307.17
131,2114,41,4,207.45
132,3177,44,5,504.26
133,3003,78,1,139.35
134,4845,59,1,427.06
135,2868,82,1,259.53
136,413,43,1,432.73
137,2459,25,4,452.25
138,3163,36,1,71.45
139,4323,91,3,95.7
140,2322,87,2,156.1
141,2598,14,4,454.62
142,1186,97,3,101.94
143,3030,65,2,527.83
144,4809,28,3,288.22
145,219,73,5,368.39
146,4307,54,4,101.41
147,4572,7,3,120.53
148,2238,64,4,278.99
