OrderID,CustomerID,OrderDate,TotalAmount
1,261,2025-02-15,2210.62
2,835,2024-10-12,340.1
3,58,2024-06-12,2570.87
4,135,2024-12-20,1379.74
5,761,2024-09-14,857.35
6,153,2024-11-06,1306.59
7,905,2024-11-03,394.69
8,90,2025-02-22,2404.44
9,90,2024-11-29,1854.65
10,404,2024-08-24,4169.83
11,764,2024-05-17,450.72
12,788,2025-02-10,1219.36
13,607,2025-02-04,3781.03
14,148,2024-07-12,1815.72
15,215,2024-09-04,3775.95
16,606,2025-01-18,1083.06
17,714,2024-05-14,1321.35
18,624,2024-10-25,2526.99
19,600,2024-08-22,1908.02
20,3,2024-03-04,1523.4
21,493,2024-09-24,4175.99
22,979,2024-06-10,4009.85
23,774,2024-11-03,3642.48
24,461,2024-06-24,2554.12
25,737,2024-09-26,3670.2
26,73,2024-10-28,3109.6
27,650,2024-10-22,3231.95
28,123,2025-01-13,1591.1
29,758,2024-11-16,4587.51
30,197,2024-11-08,3956.82
31,660,2024-12-28,950.43
32,11,2024-04-06,4421.5
33,447,2024-12-28,1295.58
34,860,2024-04-17,1631.81
35,432,2024-04-24,4305.35
36,257,2024-11-28,2180.68
37,264,2024-08-16,3204.49
38,354,2024-07-11,1127.21
39,754,2024-04-18,218.48
40,930,2024-03-23,1786.27
41,522,2024-09-17,2945.84
42,278,2024-05-07,392.31
43,345,2024-11-05,4639.73
44,536,2024-07-24,1343.14
45,599,2024-03-15,1648.56
46,829,2024-05-04,4211.77
47,602,2024-11-30,3237.92
48,402,2024-12-22,4768.84
49,919,2024-07-02,3337.24
50,880,2024-06-07,2448.27
51,170,2024-10-27,3586.68
52,386,2024-10-30,3687.16
53,647,2024-04-16,4652.04
54,833,2024-12-05,3741.51
55,217,2024-06-13,2256.23
56,355,2024-07-08,4374.2
57,246,2024-03-20,121.9
58,334,2024-07-16,1290.44
59,819,2025-01-30,4258.73
60,643,2024-11-16,1639.17
61,29,2024-04-26,3775.3
62,390,2024-10-27,1035.22
63,400,2024-06-22,4519.65
64,399,2024-10-16,107.77
65,26,2024-09-20,2680.43
66,650,2024-06-28,1662.41
67,742,2024-09-14,3418.39
68,585,2025-01-21,849.65
69,947,2024-03-24,574.77
70,559,2024-09-20,3754.24
71,301,2024-08-15,1578.88
72,14,2024-03-04,1136.93
73,247,2024-09-23,1958.01
74,376,2024-10-05,2749.52
75,981,2025-01-10,1366.85
76,506,2024-10-09,222.92
77,735,2024-05-17,1643.51
78,628,2025-01-06,4476.66
79,407,2024-09-15,3983.0
80,383,2024-10-28,488.43
81,775,2024-09-24,1170.1
82,273,2024-07-06,2772.7
